Date,Site_Number,Depth_Bin,Quadrat_Number,Species,Percent_Cover,Height (cm),Notes,Observer,Data Entry Questions/notes
2/16/23,4,Shallow,3,Halophila,60,2,,Jordan,
2/16/23,4,Shallow,4,Halophila,30,3.5,,Jordan,
2/16/23,4,Shallow,5,Halophila,2.5,2,,Jordan,
2/16/23,5,Intermediate,1,Halophila,90,5.5,lots of snails,Stef,
2/16/23,5,Intermediate,2,Halophila,90,6,,Stef,
2/16/23,5,Intermediate,3,Halophila,97,5.5,,Stef,
2/16/23,5,Intermediate,4,Halophila,90,6,,Stef,
2/16/23,5,Intermediate,5,Halophila,90,5,,Stef,
2/16/23,5,Intermediate,1,Macroalgae,2,25,,Stef,
2/16/23,5,Intermediate,3,Macroalgae,1,29,,Stef,
2/16/23,5,Intermediate,4,Other,3,,gorgonian,Stef,
2/16/23,5,Intermediate,1,Halophila,98,5.5,rope sponges,Sabrina,
2/16/23,5,Intermediate,2,Halophila,98,3,cyanobacteria/sponges,Sabrina,
2/16/23,5,Intermediate,3,Halophila,95,4,cyanobacteria/sponges,Sabrina,
2/16/23,5,Intermediate,4,Halophila,95,4,cyanobacteria/sponges,Sabrina,
2/16/23,5,Intermediate,5,Halophila,98,5,cyanobacteria/sponges,Sabrina,
2/16/23,5,Intermediate,1,Macroalgae,1,,fan,Sabrina,
2/16/23,5,Intermediate,2,Macroalgae,1,,fan,Sabrina,
2/16/23,5,Intermediate,3,Macroalgae,1,,,Sabrina,
2/16/23,5,Intermediate,4,Macroalgae,3,,,Sabrina,
2/16/23,5,Shallow,1,Macroalgae,5,,no height given,Jordan,
2/16/23,5,Shallow,1,Syringodium ,30,15,,Jordan,
2/16/23,5,Shallow,2,Syringodium ,60,10.5,,Jordan,
2/16/23,5,Shallow,3,Syringodium ,80,9.5,,Jordan,
2/16/23,5,Shallow,4,Syringodium ,75,13,,Jordan,
2/16/23,5,Shallow,5,Syringodium ,5,11,,Jordan,
2/16/23,5,Shallow,5,Halophila,50,2.5,,Jordan,
2/16/23,5,Shallow,1,Syringodium ,80,12,,Madi,
2/16/23,5,Shallow,2,Syringodium ,65,9,,Madi,
2/16/23,5,Shallow,3,Syringodium ,85,15,,Madi,
2/16/23,5,Shallow,4,Syringodium ,70,12.5,,Madi,
2/16/23,5,Shallow,5,Syringodium ,10,10,,Madi,
2/16/23,5,Shallow,5,Halophila,10,2.5,,Madi,
2/16/23,5,Deep,1,Halophila,96,9.8,"sand, finger sponge",Avery,
2/16/23,5,Deep,2,Halophila,98,6.6,bacteria,Avery,
2/16/23,5,Deep,3,Halophila,98,7.4,"sand, finger sponge",Avery,
2/16/23,5,Deep,4,Halophila,98,5.9,sand,Avery,
2/16/23,5,Deep,4,Macroalgae,1,12.1,sand,Avery,
2/16/23,5,Deep,5,Halophila,99,7.7,sand,Avery,
2/16/23,5,Deep,1,Halophila,95,7.5,2 small sponge,James,
2/16/23,5,Deep,2,Halophila,98,9.5,2 small sponge,James,
2/16/23,5,Deep,3,Halophila,90,7.5,small finger sponges,James,
2/16/23,5,Deep,4,Halophila,97,8,,James,
2/16/23,5,Deep,5,Halophila,99,9.8,,James,
2/16/23,6,Intermediate,1,Halophila,85,4,,Madi,double check location on this not on datasheet
2/16/23,6,Intermediate,2,Halophila,95,4,,Madi,
2/16/23,6,Intermediate,3,Halophila,95,4,,Madi,
2/16/23,6,Intermediate,4,Halophila,95,3.5,,Madi,
2/16/23,6,Intermediate,5,Halophila,99,4,,Madi,
2/16/23,6,Intermediate,1,Halophila,90,5.4,,Avery,
2/16/23,6,Intermediate,2,Halophila,95,5.2,,Avery,
2/16/23,6,Intermediate,3,Halophila,95,4.3,finger sponges,Avery,
2/16/23,6,Intermediate,4,Halophila,92,6.4,finger sponges,Avery,
2/16/23,6,Intermediate,5,Halophila,93,7.2,finger sponges,Avery,
2/16/23,6,Shallow,1,Halophila,1,2,,Jordan,
2/16/23,6,Shallow,2,Halophila,1,2,,Jordan,
2/16/23,6,Shallow,2,Macroalgae,1,,No height,Jordan,
2/16/23,6,Shallow,3,Macroalgae,1,10,,Jordan,
2/16/23,6,Shallow,4,Macroalgae,4,5,,Jordan,
2/16/23,6,Shallow,5,Halophila,15,2.5,,Jordan,
2/16/23,6,Shallow,1,Other,0,,Just sand,Stef,
2/16/23,6,Shallow,2,Macroalgae,3,7,,Stef,
2/16/23,6,Shallow,3,Halophila,2,1,,Stef,
2/16/23,6,Shallow,4,Macroalgae,5,10,,Stef,
2/16/23,6,Shallow,5,Halophila,10,1.5,,Stef,
2/16/23,7,Intermediate,1,Halophila,90,4,,Madi,
2/16/23,7,Intermediate,2,Halophila,90,5,,Madi,
2/16/23,7,Intermediate,3,Halophila,95,6,,Madi,
2/16/23,7,Intermediate,4,Halophila,90,4,,Madi,
2/16/23,7,Intermediate,5,Halophila,85,5,,Madi,
2/16/23,7,Intermediate,1,Halophila,63,5.5,,Avery,i think this is actually intermediate 7
2/16/23,7,Intermediate,2,Halophila,75,6.5,,Avery,
2/16/23,7,Intermediate,3,Halophila,75,6.6,,Avery,
2/16/23,7,Intermediate,4,Halophila,82,7.1,,Avery,
2/16/23,7,Intermediate,5,Halophila,82,6.7,,Avery,
2/16/23,8,Deep,1,Halophila,95,10,,Darian,
2/16/23,8,Deep,2,Halophila,95,9,,Darian,
2/16/23,8,Deep,3,Halophila,94,10,,Darian,
2/16/23,8,Deep,4,Halophila,98,11,,Darian,
2/16/23,8,Deep,5,Halophila,92,7,,Darian,
2/16/23,8,Deep,1,Macroalgae,2,,,Darian,
2/16/23,8,Deep,2,Macroalgae,2,,,Darian,
2/16/23,8,Deep,4,Macroalgae,2,,,Darian,
2/16/23,8,Deep,5,Macroalgae,1,,,Darian,
2/16/23,8,Deep,1,Other,3,,sponges,Darian,
2/16/23,8,Deep,2,Other,3,,sponges,Darian,
2/16/23,8,Deep,3,Other,3,,sponges,Darian,
2/16/23,8,Deep,4,Other,3,,sponges,Darian,
2/16/23,8,Deep,5,Other,5,,sponges,Darian,
2/16/23,8,Deep,1,Halophila,99,5.5,,Greg,
2/16/23,8,Deep,2,Halophila,99,5.5,,Greg,
2/16/23,8,Deep,3,Halophila,96,6,,Greg,
2/16/23,8,Deep,4,Halophila,98,5.9,,Greg,
2/16/23,8,Deep,5,Halophila,99,5,,Greg,
2/16/23,8,Deep,3,Macroalgae,3,17,,Greg,
2/16/23,8,Deep,4,Macroalgae,1,17,,Greg,
2/16/23,8,Deep,1,Other,1,12,,Greg,what is this other?
2/16/23,8,Deep,2,Other,1,,,Greg,
2/16/23,8,Deep,3,Other,1,,,Greg,
2/16/23,8,Deep,4,Other,1,,,Greg,
2/16/23,8,Deep,5,Other,1,,,Greg,
2/18/23,8,Intermediate,1,Halophila,55,3.5,,Jordan,
2/18/23,8,Intermediate,2,Halophila,65,3,,Jordan,
2/18/23,8,Intermediate,3,Halophila,55,4,,Jordan,
2/18/23,8,Intermediate,4,Halophila,60,4.6,,Jordan,
2/18/23,8,Intermediate,5,Halophila,50,3,,Jordan,
2/18/23,8,Intermediate,4,Thalassia ,15,16,,Jordan,
2/18/23,8,Intermediate,5,Thalassia ,25,12,,Jordan,
2/18/23,8,Intermediate,1,Macroalgae,10,,,Jordan,no height macroalgae
2/18/23,8,Intermediate,2,Macroalgae,10,,,Jordan,no height macroalgae
2/18/23,8,Intermediate,1,Halophila,20,4,rope sponges,Sabrina,
2/18/23,8,Intermediate,2,Halophila,30,4.5,rope sponges,Sabrina,
2/18/23,8,Intermediate,3,Halophila,20,5,"rope sponges, grass shoots more common than leaves",Sabrina,vverify this note 
2/18/23,8,Intermediate,4,Halophila,15,5,"rope sponges, cyanobacteria",Sabrina,
2/18/23,8,Intermediate,5,Halophila,30,5.5,rope sponges,Sabrina,
2/18/23,8,Intermediate,1,Macroalgae,5,,fan and calcifying,Sabrina,
2/18/23,8,Intermediate,2,Macroalgae,5,,,Sabrina,
2/18/23,8,Intermediate,3,Macroalgae,3,,,Sabrina,
2/18/23,8,Intermediate,4,Macroalgae,5,,,Sabrina,
2/18/23,8,Intermediate,5,Macroalgae,2,,,Sabrina,
2/18/23,8,Intermediate,4,Thalassia ,35,20,,Sabrina,
2/18/23,8,Intermediate,5,Thalassia ,40,13,,Sabrina,
2/18/23,9,Intermediate,1,Halophila,40,3,,Jordan,
2/18/23,9,Intermediate,2,Halophila,60,2.5,,Jordan,
2/18/23,9,Intermediate,3,Halophila,75,2.5,,Jordan,
2/18/23,9,Intermediate,4,Halophila,96,2.5,,Jordan,
2/18/23,9,Intermediate,5,Halophila,15,4,,Jordan,
2/18/23,9,Intermediate,2,Syringodium ,5,8,,Jordan,
2/18/23,9,Intermediate,3,Syringodium ,1,5,,Jordan,
2/18/23,9,Intermediate,4,Syringodium ,10,13,,Jordan,
2/18/23,9,Intermediate,5,Syringodium ,50,18,,Jordan,
2/18/23,9,Intermediate,1,Macroalgae,10,,,Jordan,
2/18/23,9,Intermediate,2,Macroalgae,10,,,Jordan,
2/18/23,9,Intermediate,3,Macroalgae,5,,,Jordan,
2/18/23,9,Intermediate,4,Macroalgae,5,,,Jordan,
2/18/23,9,Intermediate,5,Macroalgae,5,,,Jordan,
2/18/23,9,Intermediate,1,Halophila,30,3,a lot of cyanobacteria,Sabrina,
2/18/23,9,Intermediate,2,Halophila,40,3,large rope sponge cyanobacteria,Sabrina,
2/18/23,9,Intermediate,3,Halophila,45,4,,Sabrina,
2/18/23,9,Intermediate,4,Halophila,50,4,,Sabrina,
2/18/23,9,Intermediate,5,Halophila,10,4,fan algae and calcifying brown algae ,Sabrina,
2/18/23,9,Intermediate,2,Syringodium ,5,14,,Sabrina,
2/18/23,9,Intermediate,3,Syringodium ,15,10,,Sabrina,
2/18/23,9,Intermediate,4,Syringodium ,30,20,,Sabrina,
2/18/23,9,Intermediate,5,Syringodium ,60,17,,Sabrina,
2/18/23,9,Intermediate,1,Macroalgae,10,,,Sabrina,
2/18/23,9,Intermediate,2,Macroalgae,5,,,Sabrina,
2/18/23,9,Intermediate,3,Macroalgae,5,,,Sabrina,
2/18/23,9,Intermediate,4,Macroalgae,5,,,Sabrina,
2/18/23,9,Intermediate,5,Macroalgae,10,,,Sabrina,
2/18/23,10,Intermediate,1,Halophila,10,1,,Stef,
2/18/23,10,Intermediate,2,Halophila,10,2.5,,Stef,
2/18/23,10,Intermediate,3,Halophila,10,1.5,,Stef,
2/18/23,10,Intermediate,4,Halophila,3,1.5,,Stef,
2/18/23,10,Intermediate,5,Halophila,15,1,,Stef,
2/18/23,10,Intermediate,1,Macroalgae,15,12,,Stef,
2/18/23,10,Intermediate,2,Macroalgae,15,12,,Stef,
2/18/23,10,Intermediate,3,Macroalgae,20,10,,Stef,
2/18/23,10,Intermediate,4,Macroalgae,20,10,,Stef,
2/18/23,10,Intermediate,5,Macroalgae,10,15,,Stef,
2/18/23,10,Intermediate,1,Halophila,3,2,,Madi,
2/18/23,10,Intermediate,2,Halophila,10,2,,Madi,
2/18/23,10,Intermediate,3,Halophila,20,2,,Madi,
2/18/23,10,Intermediate,4,Halophila,20,1.5,,Madi,
2/18/23,10,Intermediate,5,Halophila,10,2,,Madi,
2/18/23,10,Intermediate,4,Syringodium ,5,11,,Madi,
2/18/23,11,Intermediate,1,Halophila,95,3,rope sponge,Stef,
2/18/23,11,Intermediate,2,Halophila,95,2,rope sponge,Stef,
2/18/23,11,Intermediate,3,Halophila,90,2.5,,Stef,does this mean two sand hill divers??
2/18/23,11,Intermediate,4,Halophila,90,3.5,,Stef,
2/18/23,11,Intermediate,5,Halophila,97,5,,Stef,
2/18/23,11,Intermediate,1,Halophila,95,5,,Madi,
2/18/23,11,Intermediate,2,Halophila,90,3,,Madi,
2/18/23,11,Intermediate,3,Halophila,90,4.5,,Madi,
2/18/23,11,Intermediate,4,Halophila,95,5,,Madi,
2/18/23,11,Intermediate,5,Halophila,95,3.5,,Madi,
2/21/23,13,Intermediate,1,Halophila,90,4,,Stef,
2/21/23,13,Intermediate,2,Halophila,90,4,"sand hills, divots",Stef,
2/21/23,13,Intermediate,3,Halophila,95,3.5,marine debris,Stef,
2/21/23,13,Intermediate,4,Halophila,95,5,,Stef,
2/21/23,13,Intermediate,5,Halophila,95,4,,Stef,
2/21/23,13,Intermediate,1,Halophila,90,6,,Kianna,
2/21/23,13,Intermediate,2,Halophila,90,4,,Kianna,
2/21/23,13,Intermediate,3,Halophila,95,5,,Kianna,
2/21/23,13,Intermediate,4,Halophila,98,6,,Kianna,
2/21/23,13,Intermediate,5,Halophila,95,3.5,,Kianna,
2/21/23,14,Intermediate,1,Halophila,90,4.5,,Stef,
2/21/23,14,Intermediate,2,Halophila,90,4,,Stef,
2/21/23,14,Intermediate,3,Halophila,95,5,Rope Sponge,Stef,
2/21/23,14,Intermediate,4,Halophila,85,4,Rope Sponge,Stef,
2/21/23,14,Intermediate,5,Halophila,90,4.5,,Stef,
2/21/23,14,Intermediate,1,Halophila,80,4.5,,Kianna,
2/21/23,14,Intermediate,2,Halophila,90,5,,Kianna,
2/21/23,14,Intermediate,3,Halophila,75,3.5,,Kianna,
2/21/23,14,Intermediate,4,Halophila,95,5,,Kianna,
2/21/23,14,Intermediate,5,Halophila,90,4,,Kianna,
2/22/23,14,Shallow,1,Halophila,40,2,,James,
2/22/23,14,Shallow,1,Syringodium ,40,8,,James,
2/22/23,14,Shallow,2,Halophila,50,2.5,,James,
2/22/23,14,Shallow,2,Syringodium ,40,9.5,,James,
2/22/23,14,Shallow,3,Halophila,30,2.5,,James,
2/22/23,14,Shallow,3,Syringodium ,50,12,,James,
2/22/23,14,Shallow,4,Halophila,80,3.5,,James,
2/22/23,14,Shallow,4,Syringodium ,15,7.5,,James,
2/22/23,14,Shallow,5,Halophila,55,4,,James,
2/22/23,14,Shallow,5,Syringodium ,25,15,,James,
2/22/23,14,Shallow,1,Halophila,10,3.5,,Greg,
2/22/23,14,Shallow,1,Syringodium ,50,1.2,,Greg,
2/22/23,14,Shallow,1,Macroalgae,10,5,,Greg,
2/22/23,14,Shallow,2,Halophila,10,4,,Greg,
2/22/23,14,Shallow,2,Syringodium ,50,1,,Greg,
2/22/23,14,Shallow,2,Macroalgae,10,7,,Greg,
2/22/23,14,Shallow,3,Halophila,30,2.9,,Greg,
2/22/23,14,Shallow,3,Syringodium ,30,13,,Greg,
2/22/23,14,Shallow,3,Macroalgae,10,8,,Greg,
2/22/23,14,Shallow,4,Halophila,60,5,,Greg,
2/22/23,14,Shallow,4,Syringodium ,10,10,,Greg,
2/22/23,14,Shallow,4,Macroalgae,5,7,,Greg,
2/22/23,14,Shallow,5,Halophila,30,5,,Greg,
2/22/23,14,Shallow,5,Syringodium ,30,11,,Greg,
2/22/23,14,Shallow,5,Macroalgae,5,13,,Greg,
2/22/23,15,Intermediate,1,Halophila,98,3.5,"sponges, pencil urchin, brown algae",Sabrina,
2/22/23,15,Intermediate,1,Macroalgae,1,23,,Sabrina,Can't read percent cover
2/22/23,15,Intermediate,2,Halophila,98,4,large sound mond with hole,Sabrina,
2/22/23,15,Intermediate,2,Macroalgae,1,10,,Sabrina,Can't read percent cover
2/22/23,15,Intermediate,3,Halophila,98,5,"brown algae, spomges",Sabrina,
2/22/23,15,Intermediate,3,Macroalgae,1,18,"brown algae, spomges",Sabrina,Can't read percent cover
2/22/23,15,Intermediate,4,Halophila,97,4,"brown algae, spomges",Sabrina,
2/22/23,15,Intermediate,4,Macroalgae,1,18,"brown algae, spomges",Sabrina,Can't read percent cover
2/22/23,15,Intermediate,5,Halophila,98,5,"brown algae, spomges",Sabrina,
2/22/23,15,Intermediate,5,Macroalgae,1,30,"brown algae, spomges",Sabrina,Can't read percent cover
2/22/23,15,Intermediate,1,Halophila,90,4.5,,Natalie,
2/22/23,15,Intermediate,1,Macroalgae,2,12,,Natalie,
2/22/23,15,Intermediate,2,Halophila,85,6.5,,Natalie,
2/22/23,15,Intermediate,2,Macroalgae,1,13.5,,Natalie,
2/22/23,15,Intermediate,3,Halophila,85,3,,Natalie,
2/22/23,15,Intermediate,3,Macroalgae,2,21,,Natalie,
2/22/23,15,Intermediate,4,Halophila,90,6.5,,Natalie,
2/22/23,15,Intermediate,4,Macroalgae,2,19,,Natalie,
2/22/23,15,Intermediate,5,Halophila,95,9,,Natalie,
2/22/23,15,Intermediate,5,Macroalgae,1,11,,Natalie,
2/22/23,15,Deep,1,Halophila,100,7.5,,James,
2/22/23,15,Deep,2,Halophila,100,6.5,,James,
2/22/23,15,Deep,3,Halophila,96,6.5,,James,
2/25/23,17,Shallow,1,Halophila,45,1,,Natalie,
2/25/23,17,Shallow,2,Halophila,35,2.5,,Natalie,
2/25/23,17,Shallow,3,Halophila,20,2,,Natalie,
2/25/23,17,Shallow,4,Halophila,35,1.5,,Natalie,
2/25/23,17,Shallow,5,Halophila,40,1.5,,Natalie,
2/25/23,17,Shallow,1,Halodule ,20,4.5,,Natalie,
2/25/23,17,Shallow,2,Halodule ,15,11,,Natalie,
2/25/23,17,Shallow,3,Halodule ,10,5.5,,Natalie,
2/25/23,17,Shallow,4,Halodule ,15,6.5,,Natalie,
2/25/23,17,Shallow,5,Halodule ,5,6,,Natalie,
2/25/23,17,Shallow,1,Halophila,30,2,,Karl,
2/25/23,17,Shallow,2,Halophila,35,2,,Karl,
2/25/23,17,Shallow,3,Halophila,40,2.5,,Karl,
2/25/23,17,Shallow,4,Halophila,40,1.5,,Karl,
2/25/23,17,Shallow,5,Halophila,40,2,,Karl,
2/25/23,17,Shallow,1,Halodule ,30,7,,Karl,
2/25/23,17,Shallow,2,Halodule ,30,7.5,,Karl,
2/25/23,17,Shallow,3,Halodule ,20,5,,Karl,
2/25/23,17,Shallow,4,Halodule ,25,8,,Karl,
2/25/23,17,Shallow,5,Halodule ,30,6,,Karl,
