Year,Date,Location,Observer,Transect,Quadrat,S.filiforme,T.testudinum,H.wrightii,Halophilastipulacae,PecentSeagrassCover,NumberShoots,NumberShootsH.stipulacae ,SubquadratSize(cmsquared),Height(mm),Height(mm)H.stipulacea,CalculatedSpeciesHeight(mm),PercentMACA,PercentEpiphytes,Grazing/Notes,
2011,11/23/11,South,"SA,LC,BH",1,4,2,0,0,0,2,50,,0.04,48,,48,0,,,
2011,11/23/11,South,"SA,LC,BH",1,5,0,0,0,0,0,29,,0.04,45,,45,0,,,
2011,11/23/11,South,"SA,LC,BH",1,6,1,0,0,0,1,0,,0.04,,,,0,,,
2011,11/23/11,South,"SA,LC,BH",1,7,0,0,0,0,0,2,,0.04,90,,90,0,,,
2011,11/23/11,South,"SA,LC,BH",1,8,1,0,0,0,1,0,,0.04,,,,0,,,
2011,11/23/11,South,"SA,LC,BH",1,9,1,0,0,0,1,3,,0.04,,,,0,,,
2011,11/23/11,South,"SA,LC,BH",1,10,1,0,0,0,1,4,,0.04,50,,50,0,,,
2011,11/23/11,Central,"SA,LC,BH",6,1,0,0,0,0,0,0,,0.04,,,,5,,,
2011,11/23/11,Central,"SA,LC,BH",6,2,0,0,0,0,0,0,,0.04,,,,3,,,
2011,11/23/11,Central,"SA,LC,BH",6,3,2,0,0,0,2,1,,0.04,,,,0,,,
2011,11/23/11,Central,"SA,LC,BH",6,4,2,0,0,0,2,1,,0.04,,,,5,,,
2011,11/23/11,Central,"SA,LC,BH",6,5,0,0,0,0,0,0,,0.04,,,,2,,,
2011,11/23/11,Central,"SA,LC,BH",6,6,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,Central,"SA,LC,BH",6,7,1,0,0,0,1,1,,0.04,,,,0,,,
2011,11/23/11,Central,"SA,LC,BH",6,8,0,0,0,0,0,1,,0.04,,,,10,,,
2011,11/23/11,Central,"SA,LC,BH",6,9,4,0,0,0,4,3,,0.04,57,,57,0,,,
2011,11/23/11,Central,"SA,LC,BH",6,10,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,South,"AS, LC",5,1,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,South,"AS, LC",5,2,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,South,"AS, LC",5,3,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,South,"AS, LC",5,4,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,South,"AS, LC",5,5,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,South,"AS, LC",5,6,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,South,"AS, LC",5,7,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,South,"AS, LC",5,8,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,South,"AS, LC",5,9,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,South,"AS, LC",5,10,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,Central,"AS, LC",10,1,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,Central,"AS, LC",10,2,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,Central,"AS, LC",10,3,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,Central,"AS, LC",10,4,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,Central,"AS, LC",10,5,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,Central,"AS, LC",10,6,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,Central,"AS, LC",10,7,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,Central,"AS, LC",10,8,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,Central,"AS, LC",10,9,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,Central,"AS, LC",10,10,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,North,"AS, LC",13,1,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,North,"AS, LC",13,2,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,North,"AS, LC",13,3,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,North,"AS, LC",13,4,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,North,"AS, LC",13,5,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,North,"AS, LC",13,6,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,North,"AS, LC",13,7,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,North,"AS, LC",13,8,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,North,"AS, LC",13,9,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,North,"AS, LC",13,10,0,0,0,0,0,0,,0.04,,,,0,0,no seagrass,
2011,11/23/11,South,"SE, JC",2,1,0,1,0,0,1,1,,0.04,50,,50,1,,,
2011,11/23/11,South,"SE, JC",2,2,0,0,0,0,0,1,,0.04,20,,20,0,,,
2011,11/23/11,South,"SE, JC",2,3,0,0,0,0,0,1,,0.04,50,,50,1,,,
2011,11/23/11,South,"SE, JC",2,4,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,South,"SE, JC",2,5,0,0,4,0,4,5,,0.04,31,,31,2,,,
2011,11/23/11,South,"SE, JC",2,6,0,0,0,0,0,0,,0.04,40,,40,1,,No Seagrass,
2011,11/23/11,South,"SE, JC",2,7,0,0,4,0,4,4,,0.04,,,,0,,,
2011,11/23/11,South,"SE, JC",2,8,0,0,0,0,0,0,,0.04,5,,5,0,,Penicillus,
2011,11/23/11,South,"SE, JC",2,9,0,0,1,0,1,1,,0.04,,,,0,,Penicillus,
2011,11/23/11,South,"SE, JC",2,10,0,10,0,0,10,10,,0.04,45,,45,28,,No Seagrass,
2011,11/23/11,Central,"SE, JC",7,1,0,0,0,0,0,0,,0.04,,,,0,,No Seagrass,
2011,11/23/11,Central,"SE, JC",7,2,0,0,0,0,0,0,,0.04,,,,0,,No Seagrass,
2011,11/23/11,Central,"SE, JC",7,3,0,0,0,0,0,0,,0.04,,,,0,,No Seagrass,
2011,11/23/11,Central,"SE, JC",7,4,0,0,0,0,0,0,,0.04,,,,0,,No Seagrass,
2011,11/23/11,Central,"SE, JC",7,5,0,0,0,0,0,1,,0.04,28,,28,2,,Penicillus,
2011,11/23/11,Central,"SE, JC",7,6,0,0,0,0,0,0,,0.04,,,,0,,No Seagrass,
2011,11/23/11,Central,"SE, JC",7,7,0,0,0,0,0,0,,0.04,,,,2,,Dict,
2011,11/23/11,Central,"SE, JC",7,8,0,0,0,0,0,0,,0.04,,,,0,,No Seagrass,
2011,11/23/11,Central,"SE, JC",7,9,0,0,0,0,0,0,,0.04,,,,1,,Dict,
2011,11/23/11,Central,"SE, JC",7,10,0,0,0,0,0,0,,0.04,,,,0,,No Seagrass,
2011,11/23/11,North,"SE, JC",11,1,0,0,0,0,0,1,,0.04,40,,40,3,,Penicillus,
2011,11/23/11,North,"SE, JC",11,2,0,0,0,0,0,3,,0.04,22,,22,0,,,
2011,11/23/11,North,"SE, JC",11,3,0,0,0,0,0,0,,0.04,,,,0,,No Seagrass,
2011,11/23/11,North,"SE, JC",11,4,0,0,0,0,0,0,,0.04,30,,30,1,,Penicillus,
2011,11/23/11,North,"SE, JC",11,5,0,0,0,0,0,0,,0.04,,,,0,,No Seagrass,
2011,11/23/11,North,"SE, JC",11,6,0,0,0,0,0,0,,0.04,,,,0,,No Seagrass,
2011,11/23/11,North,"SE, JC",11,7,0,0,0,0,0,0,,0.04,,,,0,,No Seagrass,
2011,11/23/11,North,"SE, JC",11,8,0,0,0,0,0,0,,0.04,40,,40,1,,,
2011,11/23/11,North,"SE, JC",11,9,0,0,1,0,1,1,,0.04,5,,5,0,,,
2011,11/23/11,North,"SE, JC",11,10,0,0,0,0,0,1,,0.04,80,,80,2,,,
2011,11/23/11,South,"ZW, AW",4,1,0,1,0,0,1,7,,0.04,40,,40,2,,,
2011,11/23/11,South,"ZW, AW",4,2,1,0,0,0,1,2,,0.04,62,,62,0,,,
2011,11/23/11,South,"ZW, AW",4,3,1,0,0,0,1,2,,0.04,67,,67,0,,,
2011,11/23/11,South,"ZW, AW",4,4,1,0,0,0,1,2,,0.04,78,,78,0,,,
2011,11/23/11,South,"ZW, AW",4,5,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,South,"ZW, AW",4,6,1,0,0,0,1,2,,0.04,18,,18,0,,,
2011,11/23/11,South,"ZW, AW",4,7,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,South,"ZW, AW",4,8,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,South,"ZW, AW",4,9,1,0,0,0,1,1,,0.04,80,,80,1,,,
2011,11/23/11,South,"ZW, AW",4,10,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,Central,"ZW, AW",9,1,0,0,0,0,0,0,,0.04,,,,1,,,
2011,11/23/11,Central,"ZW, AW",9,2,0,0,0,0,0,0,,0.04,,,,1,,,
2011,11/23/11,Central,"ZW, AW",9,3,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,Central,"ZW, AW",9,4,0,1,0,0,1,1,,0.04,30,,30,0,,,
2011,11/23/11,Central,"ZW, AW",9,5,0,0,0,0,0,0,,0.04,,,,2,,,
2011,11/23/11,Central,"ZW, AW",9,6,0,0,0,0,0,0,,0.04,,,,1,,,
2011,11/23/11,Central,"ZW, AW",9,7,0,0,0,0,0,0,,0.04,,,,5,,,
2011,11/23/11,Central,"ZW, AW",9,8,1,0,0,0,1,1,,0.04,35,,35,1,,,
2011,11/23/11,Central,"ZW, AW",9,9,0,0,0,0,0,0,,0.04,,,,1,,,
2011,11/23/11,Central,"ZW, AW",9,10,1,0,0,0,1,2,,0.04,80,,80,0,,,
2011,11/23/11,North,"ZW, AW",12,1,1,0,0,0,1,2,,0.04,,,,0,,,
2011,11/23/11,North,"ZW, AW",12,2,0,0,0,0,0,0,,0.04,31,,31,0,,,
2011,11/23/11,North,"ZW, AW",12,3,0,0,0,0,0,0,,0.04,,,,1,,,
2011,11/23/11,North,"ZW, AW",12,4,0,0,0,0,0,0,,0.04,,,,1,,,
2011,11/23/11,North,"ZW, AW",12,5,0,0,0,0,0,0,,0.04,,,,1,,,
2011,11/23/11,North,"ZW, AW",12,6,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,North,"ZW, AW",12,7,1,0,0,0,1,2,,0.04,68,,68,0,,,
2011,11/23/11,North,"ZW, AW",12,8,0,0,0,0,0,0,,0.04,,,,1,,,
2011,11/23/11,North,"ZW, AW",12,9,0,0,0,0,0,0,,0.04,,,,1,,,
2011,11/23/11,North,"ZW, AW",12,10,0,0,0,0,0,0,,0.04,,,,1,,,
2011,11/23/11,South,"TG, PN",3,1,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,South,"TG, PN",3,2,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,South,"TG, PN",3,3,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,South,"TG, PN",3,4,0,0,0,0,0,0,,0.04,71,,71,0,,,
2011,11/23/11,South,"TG, PN",3,5,18,0,0,0,18,0,,0.04,,,,0,,,
2011,11/23/11,South,"TG, PN",3,6,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,South,"TG, PN",3,7,1,0,0,0,1,0,,0.04,,,,0,,,
2011,11/23/11,South,"TG, PN",3,8,0,1,0,0,1,0,,0.04,,,,0,,,
2011,11/23/11,South,"TG, PN",3,9,16,0,3,0,19,0,,0.04,,,,0,,,
2011,11/23/11,South,"TG, PN",3,10,6,0,0,0,6,0,,0.04,,,,0,,,
2011,11/23/11,Central,"TG, PN",8,1,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,Central,"TG, PN",8,2,7,0,0,0,7,7,,0.04,45,,45,3,,,
2011,11/23/11,Central,"TG, PN",8,3,3,0,0,0,3,3,,0.04,,,,0,,,
2011,11/23/11,Central,"TG, PN",8,4,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,Central,"TG, PN",8,5,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,Central,"TG, PN",8,6,8,0,0,0,8,0,,0.04,,,,0,,,
2011,11/23/11,Central,"TG, PN",8,7,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,Central,"TG, PN",8,8,5,0,0,0,5,0,,0.04,,,,0,,,
2011,11/23/11,Central,"TG, PN",8,9,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,Central,"TG, PN",8,10,0,0,0,0,0,0,,0.04,,,,0,,,
2012,10/24/12,South,RMJK,3,1,1,0,0,0,1,11,,0.04,13,,13,0,90,"Heavy ???, goby, Caluerpa (5%)",
2012,10/24/12,South,RMJK,3,2,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,South,RMJK,3,3,1,0,0,0,1,13,,0.04,17,,17,0,90,Little epiphytes,
2012,10/24/12,South,RMJK,3,4,0.5,0,0,0,0.5,5,,0.04,77,,77,0,40,Little epiphytes,
2012,10/24/12,South,RMJK,3,5,5,0,0,0,5,21,,0.04,83,,83,0,0,Little epiphytes,
2012,10/24/12,South,RMJK,3,6,5,0,0,0,5,11,,0.04,110,,110,5,,Epiphytes,
2012,10/24/12,South,RMJK,3,7,5,0,0,0,5,12,,0.04,183,,183,5,,Epiphytes,
2012,10/24/12,South,RMJK,3,8,10,0,0,0,10,31,,0.04,128,,128,0,,Epiphytes,
2012,10/24/12,South,RMJK,3,9,0,0,0,0,0,0,,0.04,,,,0,,Sand,
2012,10/24/12,South,RMJK,3,10,5,0,0,0,5,12,,0.04,128,,128,0,,Epiphytes,
2012,10/24/12,Central,RMJK,6,1,5,0,0,0,5,28,,0.04,93,,93,0,40,Very light,
2012,10/24/12,Central,RMJK,6,2,10,0,0,0,10,36,,0.04,177,,177,0,40,Very light,
2012,10/24/12,Central,RMJK,6,3,5,0,0,0,5,38,,0.04,103,,103,2,40,Light,
2012,10/24/12,Central,RMJK,6,4,0.5,0,0,0,0.5,2,,0.04,135,,135,0,60,Light,
2012,10/24/12,Central,RMJK,6,5,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,Central,RMJK,6,6,10,0,0,0,10,23,,0.04,73,,73,0,,Epiphytes,
2012,10/24/12,Central,RMJK,6,7,5,0,5,0,10,24,,0.04,146,,146,0,,Some epiphytes,
2012,10/24/12,Central,RMJK,6,8,0,0,0,0,0,0,,0.04,,,,0,,Sand,
2012,10/24/12,Central,RMJK,6,9,5,0,0,0,5,2,,0.04,73,,73,5,,Epiphytes,
2012,10/24/12,Central,RMJK,6,10,0,5,0,0,5,1,,0.04,37,,37,0,,Epiphytes,
2012,10/24/12,North,RMJK,9,1,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,North,RMJK,9,2,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,North,RMJK,9,3,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,North,RMJK,9,4,5,0,0,0,5,20,,0.04,63,,63,0,20,Med,
2012,10/24/12,North,RMJK,9,5,7,0,0,0,7,35,,0.04,96,,96,1,30,Med,
2012,10/24/12,North,RMJK,9,6,15,0,0,0,15,25,,0.04,43,,43,0,20,Med,
2012,10/24/12,North,RMJK,9,7,5,0,0,0,5,43,,0.04,160,,160,0,,,
2012,10/24/12,North,RMJK,9,8,0,0,5,0,5,34,,0.04,201,,201,1,,Epiphytes,
2012,10/24/12,North,RMJK,9,9,0,0,10,0,10,43,,0.04,183,,183,1,,"Epiphytes, inverts",
2012,10/24/12,North,RMJK,9,10,2,0,3,0,5,18,,0.04,91,,91,0,,Epiphytes,
2012,10/24/12,Central,RMJK,7,1,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,Central,RMJK,7,2,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,Central,RMJK,7,3,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,Central,RMJK,7,4,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,Central,RMJK,7,5,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,Central,RMJK,7,6,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,Central,RMJK,7,7,0,0,0,0,0,0,,0.04,,,,1,0,,
2012,10/24/12,Central,RMJK,7,8,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,Central,RMJK,7,9,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,Central,RMJK,7,10,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,South,JMRKJ,2,1,1,0,0,0,1,11,,0.04,198,,198,0,60,No grazing,
2012,10/24/12,South,JMRKJ,2,2,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,South,JMRKJ,2,3,0,0,0,0,0,0,,0.04,,,,0,0,,
2012,10/24/12,South,JMRKJ,2,4,3,0,0,0,3,41,,0.04,97,,97,0,50,No grazing,
2012,10/24/12,South,JMRKJ,2,5,3,0,0,0,3,23,,0.04,147,,147,5,70,,
2012,10/24/12,South,JMRKJ,2,6,1,0,0,0,1,13,,0.04,49,,49,5,50,,
2012,10/24/12,South,JMRKJ,2,7,0,0,1,0,1,2,,0.04,201,,201,2,,Epiphytes,
2012,10/24/12,South,JMRKJ,2,8,0,0,10,0,10,65,,0.04,146,,146,1,,Epiphytes,
2012,10/24/12,South,JMRKJ,2,9,4,0,0,0,4,29,,0.04,91,,91,0,,"Epiphytes, goby",
2012,10/24/12,South,JMRKJ,2,10,3,0,0,0,3,13,,0.04,110,,110,0,,Epiphytes,
2012,10/24/12,South,JKHW,1,1,5,0,0,0,5,33,,0.04,82,,82,0,,,
2012,10/24/12,South,JKHW,1,2,2,0,0,0,2,25,,0.04,102,,102,0,,,
2012,10/24/12,South,JKHW,1,3,1,0,0,0,1,11,,0.04,104,,104,0,,,
2012,10/24/12,South,JKHW,1,4,1,0,0,0,1,10,,0.04,142,,142,1,,,
2012,10/24/12,South,JKHW,1,5,2,0,0,0,2,17,,0.04,81,,81,0,,,
2012,10/24/12,South,JKHW,1,6,4,0,1,0,5,42,,0.04,76,,76,0,,,
2012,10/24/12,South,JKHW,1,7,8,0,2,0,10,21,,0.04,89,,89,0,,,
2012,10/24/12,South,JKHW,1,8,5,0,0,0,5,38,,0.04,83,,83,10,,,
2012,10/24/12,South,JKHW,1,9,7,0,0,0,7,58,,0.04,130,,130,0,,,
2012,10/24/12,South,JKHW,1,10,5,0,0,0,5,22,,0.04,136,,136,1,,,
2012,10/24/12,Central,JKHW,4,1,2,0,0,0,2,23,,0.04,138,,138,0,,,
2012,10/24/12,Central,JKHW,4,2,1,0,0,0,1,13,,0.04,59,,59,0,,,
2012,10/24/12,Central,JKHW,4,3,4,0,0,0,4,46,,0.04,52,,52,0,,,
2012,10/24/12,Central,JKHW,4,4,1,0,0,0,1,8,,0.04,24,,24,0,,,
2012,10/24/12,Central,JKHW,4,5,4,0,1,0,5,74,,0.04,73,,73,0,,,
