"","Common.Names","Date","Site_Number","Depth_Bin","Fish_Number","Size","Observer","data.entry.questions","Common_Names","X","Size_Bins","Scientific.Names","Family"
"26","Beaugregory Damselfish","2/16/23",7,"Shallow",1398,"<2","Stef","","",NA,"","Stegastes leucostictus","Pomacentridae"
"27","Beaugregory Damselfish","2/16/23",7,"Shallow",1451,"3-4cm","Jordan ","","",NA,"","Stegastes leucostictus","Pomacentridae"
"28","Beaugregory Damselfish","2/21/23",13,"Shallow",1319,"4-5cm","Madi","","",NA,"","Stegastes leucostictus","Pomacentridae"
"29","Beaugregory Damselfish","2/16/23",7,"Shallow",1450,"3-4cm","Jordan ","","",NA,"","Stegastes leucostictus","Pomacentridae"
"30","Beaugregory Damselfish","2/26/23",21,"Shallow",737,"2-3cm","Avery","","",NA,"","Stegastes leucostictus","Pomacentridae"
"31","Beaugregory Damselfish","2/21/23",13,"Shallow",1321,"4-5cm","Madi","","",NA,"","Stegastes leucostictus","Pomacentridae"
"32","Beaugregory Damselfish","2/26/23",21,"Shallow",736,"<2","Avery","","",NA,"","Stegastes leucostictus","Pomacentridae"
"33","Beaugregory Damselfish","2/21/23",13,"Shallow",1320,"4-5cm","Madi ","","",NA,"","Stegastes leucostictus","Pomacentridae"
"34","Bicolor Damselfish","2/16/23",7,"Shallow",1480,"3-4cm","Jordan ","","",NA,"","Stegastes partitus","Pomacentridae"
"35","Bicolor Damselfish","2/18/23",10,"Shallow",1394,"3-4cm","Kianna","","",NA,"","Stegastes partitus","Pomacentridae"
"36","Bicolor Damselfish","2/21/23",13,"Shallow",1368,"2-3cm","Jordan ","","",NA,"","Stegastes partitus","Pomacentridae"
"37","Bicolor Damselfish","2/18/23",10,"Shallow",1393,"2-3cm","Kianna","","",NA,"","Stegastes partitus","Pomacentridae"
"38","Bicolor Damselfish","2/16/23",7,"Shallow",1479,"3-4cm","Jordan ","","",NA,"","Stegastes partitus","Pomacentridae"
"39","Bicolor Damselfish","2/18/23",10,"Shallow",1392,"2-3cm","Kianna","","",NA,"","Stegastes partitus","Pomacentridae"
"40","Big Eyed Scad","2/16/23",7,"Deep",1125,"<2","Greg","","",NA,"","Selar crumenophthalmus","Carangidae"
"41","Big Eyed Scad","2/25/23",19,"Deep",403,"11-15cm","Greg","","",NA,"","Selar crumenophthalmus","Carangidae"
"42","Big Eyed Scad","2/25/23",19,"Deep",404,"11-15cm","Greg","","",NA,"","Selar crumenophthalmus","Carangidae"
"43","Black Bar Solider","2/18/23",10,"Shallow",1395,"4-5cm","Kianna","hard to read handwriting, can't tell what fish is","",NA,"","Myripristis jacobus","Holocentridae"
"44","Blue Runner","2/24/23",15,"Deep",496,"21","James","","",NA,"","Caranx crysos","Carangidae"
"45","Blue Runner","2/24/23",15,"Deep",535,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"46","Blue Runner","2/24/23",15,"Deep",536,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"47","Blue Runner","2/24/23",15,"Deep",501,"21","James","","",NA,"","Caranx crysos","Carangidae"
"48","Blue Runner","2/24/23",15,"Deep",537,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"49","Blue Runner","2/24/23",15,"Deep",541,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"50","Blue Runner","2/25/23",19,"Deep",406,"16-20cm","Greg","","",NA,"","Caranx crysos","Carangidae"
"51","Blue Runner","2/24/23",15,"Deep",549,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"52","Blue Runner","2/24/23",15,"Deep",539,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"53","Blue Runner","2/24/23",15,"Deep",534,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"54","Blue Runner","2/24/23",15,"Deep",547,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"55","Blue Runner","2/24/23",15,"Deep",500,"21","James","","",NA,"","Caranx crysos","Carangidae"
"56","Blue Runner","2/24/23",15,"Deep",538,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"57","Blue Runner","2/24/23",15,"Deep",525,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"58","Blue Runner","2/24/23",15,"Deep",540,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"59","Blue Runner","2/24/23",15,"Deep",543,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"60","Blue Runner","2/24/23",15,"Deep",532,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"61","Blue Runner","2/24/23",15,"Deep",494,"21","James","","",NA,"","Caranx crysos","Carangidae"
"62","Blue Runner","2/24/23",15,"Deep",546,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"63","Blue Runner","2/24/23",15,"Deep",520,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"64","Blue Runner","2/24/23",15,"Deep",521,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"65","Blue Runner","2/24/23",15,"Deep",495,"21","James","","",NA,"","Caranx crysos","Carangidae"
"66","Blue Runner","2/24/23",15,"Deep",497,"21","James","","",NA,"","Caranx crysos","Carangidae"
"67","Blue Runner","2/24/23",15,"Deep",498,"21","James","","",NA,"","Caranx crysos","Carangidae"
"68","Blue Runner","2/24/23",15,"Deep",499,"21","James","","",NA,"","Caranx crysos","Carangidae"
"69","Blue Runner","2/24/23",15,"Deep",542,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"70","Blue Runner","2/24/23",15,"Deep",485,"21","James","","",NA,"","Caranx crysos","Carangidae"
"71","Blue Runner","2/24/23",15,"Deep",527,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"72","Blue Runner","2/25/23",19,"Deep",405,"16-20cm","Greg","","",NA,"","Caranx crysos","Carangidae"
"73","Blue Runner","2/24/23",15,"Deep",544,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"74","Blue Runner","2/24/23",15,"Deep",545,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"75","Blue Runner","2/24/23",15,"Deep",519,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"76","Blue Runner","2/24/23",15,"Deep",493,"21","James","","",NA,"","Caranx crysos","Carangidae"
"77","Blue Runner","2/24/23",15,"Deep",506,"21","James","","",NA,"","Caranx crysos","Carangidae"
"78","Blue Runner","2/24/23",15,"Deep",548,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"79","Blue Runner","2/24/23",15,"Deep",483,"21","James","","",NA,"","Caranx crysos","Carangidae"
"80","Blue Runner","2/24/23",15,"Deep",524,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"81","Blue Runner","2/24/23",15,"Deep",526,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"82","Blue Runner","2/24/23",15,"Deep",484,"21","James","","",NA,"","Caranx crysos","Carangidae"
"83","Blue Runner","2/24/23",15,"Deep",491,"21","James","","",NA,"","Caranx crysos","Carangidae"
"84","Blue Runner","2/24/23",15,"Deep",533,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"85","Blue Runner","2/24/23",15,"Deep",528,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"86","Blue Runner","2/24/23",15,"Deep",490,"21","James","","",NA,"","Caranx crysos","Carangidae"
"87","Blue Runner","2/24/23",15,"Deep",480,"21","James","","",NA,"","Caranx crysos","Carangidae"
"88","Blue Runner","2/24/23",15,"Deep",522,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"89","Blue Runner","2/24/23",15,"Deep",505,"21","James","","",NA,"","Caranx crysos","Carangidae"
"90","Blue Runner","2/24/23",15,"Deep",479,"21","James","","",NA,"","Caranx crysos","Carangidae"
"91","Blue Runner","2/24/23",15,"Deep",502,"21","James","","",NA,"","Caranx crysos","Carangidae"
"92","Blue Runner","2/24/23",15,"Deep",503,"21","James","","",NA,"","Caranx crysos","Carangidae"
"93","Blue Runner","2/24/23",15,"Deep",523,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"94","Blue Runner","2/21/23",14,"Deep",1299,"16-20cm","Greg","School","",NA,"","Caranx crysos","Carangidae"
"95","Blue Runner","2/24/23",15,"Deep",492,"21","James","","",NA,"","Caranx crysos","Carangidae"
"96","Blue Runner","2/24/23",15,"Deep",529,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"97","Blue Runner","2/24/23",15,"Deep",504,"21","James","","",NA,"","Caranx crysos","Carangidae"
"98","Blue Runner","2/24/23",15,"Deep",486,"21","James","","",NA,"","Caranx crysos","Carangidae"
"99","Blue Runner","2/24/23",15,"Deep",482,"21","James","","",NA,"","Caranx crysos","Carangidae"
"100","Blue Runner","2/16/23",7,"Deep",1132,"","Greg","Tallied twice in 21-100cm bin, don't know length","",NA,"","Caranx crysos","Carangidae"
"101","Blue Runner","2/24/23",15,"Deep",507,"21","James","","",NA,"","Caranx crysos","Carangidae"
"102","Blue Runner","2/24/23",15,"Deep",478,"21","James","","",NA,"","Caranx crysos","Carangidae"
"103","Blue Runner","2/24/23",15,"Deep",477,"21","James","","",NA,"","Caranx crysos","Carangidae"
"104","Blue Runner","2/24/23",15,"Deep",489,"21","James","","",NA,"","Caranx crysos","Carangidae"
"105","Blue Runner","2/24/23",15,"Deep",530,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"106","Blue Runner","2/24/23",15,"Deep",481,"21","James","","",NA,"","Caranx crysos","Carangidae"
"107","Blue Runner","2/24/23",15,"Deep",531,"21","Greg","","",NA,"","Caranx crysos","Carangidae"
"108","Blue Runner","2/24/23",15,"Deep",487,"21","James","","",NA,"","Caranx crysos","Carangidae"
"109","Blue Runner","2/16/23",7,"Deep",1133,"","Greg","","",NA,"","Caranx crysos","Carangidae"
"110","Blue Runner","2/24/23",15,"Deep",488,"21","James","","",NA,"","Caranx crysos","Carangidae"
"111","Blue Tang ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acanthurus coeruleus","Acanthuridae"
"112","Bluehead Wrasse","2/16/23",7,"Shallow",1481,"3-4cm","Jordan ","Bluehead wrasse","",NA,"","Thalassoma bifasciatum","Labridae"
"113","Bluehead Wrasse","2/16/23",7,"Shallow",1482,"3-4cm","Jordan ","Bluehead wrasse","",NA,"","Thalassoma bifasciatum","Labridae"
"114","Bluehead Wrasse","2/21/23",13,"Shallow",1371,"2-3cm","Jordan ","Bluehead wrasse ","",NA,"","Thalassoma bifasciatum","Labridae"
"115","Bluehead Wrasse","2/21/23",13,"Shallow",1369,"2-3cm","Jordan ","Bluehead wrasse ","",NA,"","Thalassoma bifasciatum","Labridae"
"116","Bluehead Wrasse","2/21/23",13,"Shallow",1370,"2-3cm","Jordan ","Bluehead wrasse ","",NA,"","Thalassoma bifasciatum","Labridae"
"117","Bluelip Parrotfish","2/21/23",13,"Shallow",1322,"6-10cm","Madi","","",NA,"","Scarus coeruleus","Scaridae"
"118","Bluelip Parrotfish","2/24/23",15,"Shallow",923,"<2","Avery","","",NA,"","Scarus coeruleus","Scaridae"
"119","Bluelip Parrotfish","2/24/23",15,"Shallow",919,"<2","Avery","","",NA,"","Scarus coeruleus","Scaridae"
"120","Bluelip Parrotfish","2/24/23",15,"Shallow",922,"<2","Avery","","",NA,"","Scarus coeruleus","Scaridae"
"121","Bluelip Parrotfish","2/21/23",13,"Shallow",1323,"6-10cm","Madi","","",NA,"","Scarus coeruleus","Scaridae"
"122","Bluelip Parrotfish","2/24/23",15,"Shallow",924,"<2","Avery","","",NA,"","Scarus coeruleus","Scaridae"
"123","Bluelip Parrotfish","2/24/23",15,"Shallow",921,"<2","Avery","","",NA,"","Scarus coeruleus","Scaridae"
"124","Bluelip Parrotfish","2/24/23",15,"Shallow",920,"<2","Avery","","",NA,"","Scarus coeruleus","Scaridae"
"125","Bridled Goby","2/24/23",17,"Intermediate",1042,"<2","Stefanie","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"126","Bridled Goby","2/24/23",17,"Intermediate",1043,"4-5cm","Stefanie","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"127","Bridled Goby","2/25/23",19,"Intermediate",635,"2-3cm","Stefanie","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"128","Bridled Goby","2/12/23",3,"Intermediate",122,"4-5cm","Greg","","",NA,"126","Coryphopterus glaucofraenum ","Gobiidae"
"129","Bridled Goby","2/25/23",20,"Deep",863,"2-3cm","Darian","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"130","Bridled Goby","2/18/23",10,"Deep",1165,"3-4cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"131","Bridled Goby","2/25/23",19,"Deep",415,"2-3cm","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"132","Bridled Goby","2/18/23",10,"Deep",1163,"3-4cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"133","Bridled Goby","2/12/23",1,"Intermediate",39,"<2","Kianna","","Orangesided Goby",NA,"47","Coryphopterus glaucofraenum ","Gobiidae"
"134","Bridled Goby","2/25/23",19,"Deep",414,"2-3cm","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"135","Bridled Goby","2/25/23",19,"Deep",410,"<2","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"136","Bridled Goby","2/25/23",19,"Deep",416,"4-5cm","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"137","Bridled Goby","2/25/23",20,"Deep",865,"2-3cm","Darian","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"138","Bridled Goby","2/25/23",19,"Deep",425,"2-3cm","Darian","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"139","Bridled Goby","2/21/23",14,"Intermediate",290,"3-4cm","Stef","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"140","Bridled Goby","2/18/23",10,"Deep",1156,"<2","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"141","Bridled Goby","2/25/23",20,"Deep",374,"2-3cm","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"142","Bridled Goby","2/21/23",13,"Deep",1251,"2-3cm","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"143","Bridled Goby","2/18/23",10,"Deep",1162,"2-3cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"144","Bridled Goby","2/25/23",19,"Deep",426,"2-3cm","Darian","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"145","Bridled Goby","2/25/23",19,"Deep",408,"<2","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"146","Bridled Goby","2/25/23",19,"Deep",424,"<2","Darian","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"147","Bridled Goby","2/24/23",15,"Shallow",934,"2-3cm","James","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"148","Bridled Goby","2/25/23",21,"Intermediate",616,"4-5cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"149","Bridled Goby","2/18/23",10,"Deep",1161,"2-3cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"150","Bridled Goby","2/24/23",15,"Deep",508,"2-3cm","James","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"151","Bridled Goby","2/18/23",10,"Deep",1157,"<2","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"152","Bridled Goby","2/16/23",5,"Deep",335,"3-4cm","James","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"153","Bridled Goby","2/25/23",19,"Deep",417,"4-5cm","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"154","Bridled Goby","2/24/23",17,"Intermediate",1044,"4-5cm","Stefanie","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"155","Bridled Goby","2/25/23",24,"Shallow",657,"<2","Stefanie","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"156","Bridled Goby","2/25/23",19,"Deep",422,"<2","Darian","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"157","Bridled Goby","2/18/23",11,"Intermediate",259,"2-3cm","Stef","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"158","Bridled Goby","2/25/23",19,"Deep",423,"<2","Darian","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"159","Bridled Goby","2/25/23",18,"Shallow",370,"<2","Nat","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"160","Bridled Goby","2/12/23",4,"Deep",25,"2-3cm","James","","Grunt Species",NA,"37","Coryphopterus glaucofraenum ","Gobiidae"
"161","Bridled Goby","2/24/23",17,"Intermediate",1041,"<2","Stefanie","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"162","Bridled Goby","2/12/23",4,"Deep",26,"2-3cm","James","","Hamlet Species",NA,"38","Coryphopterus glaucofraenum ","Gobiidae"
"163","Bridled Goby","2/16/23",5,"Deep",334,"2-3cm","James","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"164","Bridled Goby","2/18/23",9,"Intermediate",249,"2-3cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"165","Bridled Goby","2/21/23",13,"Deep",1273,"2-3cm","James","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"166","Bridled Goby","2/25/23",21,"Intermediate",609,"3-4cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"167","Bridled Goby","2/16/23",6,"Intermediate",211,"<2","Avery","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"168","Bridled Goby","2/16/23",6,"Intermediate",213,"<2","Avery","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"169","Bridled Goby","2/24/23",17,"Intermediate",1040,"<2","Stefanie","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"170","Bridled Goby","2/16/23",6,"Intermediate",204,"2-3cm","Madi","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"171","Bridled Goby","2/25/23",20,"Intermediate",575,"<2","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"172","Bridled Goby","2/25/23",20,"Intermediate",576,"2-3cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"173","Bridled Goby","2/24/23",15,"Shallow",933,"2-3cm","James","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"174","Bridled Goby","2/18/23",10,"Deep",1177,"<2","Stefanie","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"175","Bridled Goby","2/25/23",21,"Intermediate",614,"4-5cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"176","Bridled Goby","2/25/23",21,"Intermediate",615,"4-5cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"177","Bridled Goby","2/18/23",10,"Deep",1164,"3-4cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"178","Bridled Goby","2/18/23",8,"Intermediate",233,"3-4cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"179","Bridled Goby","2/25/23",19,"Deep",412,"2-3cm","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"180","Bridled Goby","2/16/23",5,"Deep",336,"4-5cm","James","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"181","Bridled Goby","2/25/23",21,"Intermediate",611,"4-5cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"182","Bridled Goby","2/18/23",9,"Deep",1144,"2-3cm","James","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"183","Bridled Goby","2/25/23",19,"Deep",409,"<2","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"184","Bridled Goby","2/18/23",10,"Deep",1159,"2-3cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"185","Bridled Goby","2/18/23",10,"Deep",1160,"2-3cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"186","Bridled Goby","2/25/23",19,"Deep",407,"<2","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"187","Bridled Goby","2/25/23",20,"Deep",864,"2-3cm","Darian","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"188","Bridled Goby","2/18/23",8,"Intermediate",231,"3-4cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"189","Bridled Goby","2/25/23",21,"Intermediate",607,"<2","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"190","Bridled Goby","2/25/23",19,"Deep",413,"2-3cm","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"191","Bridled Goby","2/25/23",19,"Deep",411,"2-3cm","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"192","Bridled Goby","2/25/23",20,"Deep",891,"2-3cm","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"193","Bridled Goby","2/16/23",5,"Shallow",310,"3-4cm","Jordan","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"194","Bridled Goby","2/12/23",1,"Intermediate",115,"2-3cm","Greg","","",NA,"119","Coryphopterus glaucofraenum ","Gobiidae"
"195","Bridled Goby","2/12/23",1,"Intermediate",116,"3-4cm","Greg","","",NA,"120","Coryphopterus glaucofraenum ","Gobiidae"
"196","Bridled Goby","2/16/23",7,"Shallow",1406,"11-15cm","Stef","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"197","Bridled Goby","2/18/23",12,"Deep",1215,"3-4cm","Greg","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"198","Bridled Goby","2/25/23",20,"Intermediate",574,"<2","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"199","Bridled Goby","2/16/23",7,"Shallow",1405,"11-15cm","Stef","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"200","Bridled Goby","2/18/23",10,"Deep",1176,"<2","Stefanie","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"201","Bridled Goby","2/25/23",20,"Intermediate",573,"<2","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"202","Bridled Goby","2/25/23",17,"Shallow",401,"<2","Nat","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"203","Bridled Goby","2/18/23",10,"Deep",1178,"2-3cm","Stefanie","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"204","Bridled Goby","2/18/23",8,"Intermediate",232,"3-4cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"205","Bridled Goby","2/16/23",7,"Shallow",1404,"6-10cm","Stef","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"206","Bridled Goby","2/25/23",20,"Intermediate",572,"<2","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"207","Bridled Goby","2/16/23",6,"Deep",1113,"<2","James","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"208","Bridled Goby","2/12/23",1,"Intermediate",114,"2-3cm","Greg","","",NA,"118","Coryphopterus glaucofraenum ","Gobiidae"
"209","Bridled Goby","2/18/23",8,"Intermediate",230,"2-3cm","Sabrina","benthic burrowing shrimp","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"210","Bridled Goby","2/16/23",6,"Deep",1114,"<2","James","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"211","Bridled Goby","2/16/23",7,"Shallow",1403,"2-3cm","Stef","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"212","Bridled Goby","2/25/23",21,"Intermediate",613,"4-5cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"213","Bridled Goby","2/25/23",21,"Intermediate",610,"3-4cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
"214","Bridled Goby","2/16/23",5,"Intermediate",197,"<2","Stef","","",NA,"201","Coryphopterus glaucofraenum ","Gobiidae"
"215","Bridled Goby","2/18/23",10,"Deep",1158,"2-3cm","Sabrina","","",NA,"","Coryphopterus glaucofraenum ","Gobiidae"
