"","Transect","N","Species_Richness","simpsons","depth","PCovHalophila","PCovMacroalgae","PCovOther","PCovThalassia","PCovHalodule","PCovRubble","PCovSyringodium","nativecover","totalcover","PCovSand"
"31","2 Intermediate",10,4,0.711111111111111,10.0583996785,16.1,1.5,0,0,0,0,0.1,0.1,17.7,82.3
"32","2 Shallow",34,9,0.7825311942959,5.2,16.6,0,0,0,0,0,0,0,16.6,83.4
"33","20 Deep",83,13,0.878930355568616,18.409919412,80.5,13.8,4.5,0,0,0,0,0,98.8,1.2
"34","20 Intermediate",30,8,0.827586206896552,12.039599615,52.5,17,0,0,0,0,0,0,69.5,30.5
"35","21 Deep",71,7,0.632193158953722,23.16479926,87.2,0.2,0,0,0,0,0,0,87.4,12.6
"36","21 Intermediate",26,9,0.778461538461538,11.27759964,18.5,6.2,0,0,0,0,0,0,24.7,75.3
"37","21 Shallow",45,8,0.749494949494949,7.315199766,59.8,2,0,0,0,0,0,0,61.8,38.2
"38","22 Deep",49,7,0.600340136054422,22.707599275,93.3,5,0,0,0,0,0,0,98.3,1.7
"39","22 Intermediate",6,4,0.6,7.010399776,0,3.9,0,23,0,0,64,87,90.9,9.09999999999999
"40","22 Shallow",8,3,0.25,6.705599785,0,1.8,0,1.8,0,0,68,69.8,71.6,28.4
"41","23 Deep",16,5,0.825,20.269199355,92.3,2.8,0.5,0,0,0,0,0,95.6,4.40000000000001
"42","23 Intermediate",8,5,0.857142857142857,15.23999951,92.3,2.7,0,0,0,0,0,0,95,5
"43","3 Deep",6,6,0.933333333333333,19.50719938,97.4,0,0.7,0,0,0,0,0,98.1,1.89999999999999
"44","3 Intermediate",17,8,0.882352941176471,9.905999684,28.5,9.5,0,0,0,0,16,16,54,46
"45","4 Deep",16,8,0.933333333333333,18.643999705,68.1,6,0,0,0,0,0,0,74.1,25.9
"46","4 Intermediate",19,7,0.725146198830409,15.84959949,36.2,0.9,0.2,0,0,0,0,0,37.3,62.7
"47","4 Shallow",4,3,0.833333333333333,5.181599834,27.25,0,0,0,0,0,0,0,27.25,72.75
"48","5 Deep",40,16,0.934615384615385,18.8975994,96.8,0.1,0,0,0,0,0,0,96.9,3.10000000000001
"49","5 Intermediate",7,5,0.904761904761905,17.37359944,94.1,0.9,0.3,0,0,0,0,0,95.3,4.7
"50","5 Shallow",8,4,0.75,4.876799844,6,0.5,0,0,0,0,56,56,62.5,37.5
"51","6 Deep",12,3,0.666666666666667,23.16479926,1,0,0,0,0,0,0,0,1,99
"52","6 Intermediate",14,5,0.802197802197802,14.477999535,93.4,0,0,0,0,0,0,0,93.4,6.59999999999999
"53","6 Shallow",4,3,0.833333333333333,6.095999805,2.9,1.4,0,0,0,0,0,0,4.3,95.7
"54","7 Deep",19,8,0.883040935672515,21.488399315,85.5,0,3.3,0,0,0,0,0,88.8,11.2
"55","7 Intermediate",7,4,0.80952380952381,16.001999485,82.7,0,0,0,0,0,0,0,82.7,17.3
"56","7 Shallow",85,13,0.762745098039216,3.1263999465,2.5,8.7,2,0,0,13.5,0,0,26.7,73.3
"57","8 Deep",25,11,0.693333333333333,19.96439968,96.5,1.1,2.2,0,0,0,0,0,99.8,0.200000000000003
"58","8 Intermediate",15,7,0.819047619047619,13.155599785,40,4,0,11.5,0,0,0,11.5,55.5,44.5
"59","8 Shallow",4,4,1,2.773999951,0,0,0,0,0,26.25,0,0,26.25,73.75
"60","9 Deep",12,6,0.848484848484849,23.16479926,0.1,0.1,0.6,0,0,49.1,0,0,49.9,50.1
"61","9 Intermediate",12,6,0.803030303030303,9.67919984,46.1,7,0,0,0,0,17.6,17.6,70.7,29.3
"62","9 Shallow",13,3,0.153846153846154,3.5787999415,56,1,0,0,0,0,33.7,33.7,90.7,9.3
